date,close,change%
2018-12-24,2351.100098,-2.06
2018-12-21,2416.620117,-1.978
2018-12-20,2467.419922,-1.176
2018-12-19,2506.959961,-1.574
2018-12-18,2546.159912,-0.537
2018-12-17,2545.939941,-1.73
2018-12-14,2599.949951,-1.131
2018-12-13,2650.540039,-0.307
2018-12-12,2651.070068,-0.269
2018-12-11,2636.780029,-1.038
2018-12-10,2637.719971,0.261
2018-12-07,2633.080078,-2.162
2018-12-06,2695.949951,1.218
2018-12-04,2700.060059,-2.96
2018-12-03,2790.370117,-0.005
2018-11-30,2760.169922,0.819
2018-11-29,2737.800049,0.03
2018-11-28,2743.790039,1.945
2018-11-27,2682.169922,0.692
2018-11-26,2673.449951,0.886
2018-11-23,2632.560059,-0.03
2018-11-21,2649.929932,-0.294
2018-11-20,2641.889893,-0.479
2018-11-19,2690.72998,-1.465
2018-11-16,2736.27002,0.652
2018-11-15,2730.199951,1.362
2018-11-14,2701.580078,-1.327
2018-11-13,2722.179932,-0.288
2018-11-12,2726.219971,-1.72
2018-11-09,2781.01001,-0.468
2018-11-08,2806.830078,0.016
2018-11-07,2813.889893,1.433
2018-11-06,2755.449951,0.623
2018-11-05,2738.310059,0.438
2018-11-02,2723.060059,-0.816
2018-11-01,2740.370117,0.839
2018-10-31,2711.73999,0.227
2018-10-30,2682.629883,1.589
2018-10-29,2641.25,-1.543
2018-10-26,2658.689941,-0.344
2018-10-25,2705.570068,1.147
2018-10-24,2656.100098,-2.987
2018-10-23,2740.689941,0.723
2018-10-22,2755.879883,-0.651
2018-10-19,2767.780029,-0.284
2018-10-18,2768.780029,-1.186
2018-10-17,2809.209961,-0.087
2018-10-16,2809.919922,1.549
2018-10-15,2750.790039,-0.472
2018-10-12,2767.129883,-0.123
2018-10-11,2728.370117,-1.747
2018-10-10,2785.679932,-3.07
2018-10-09,2880.340088,-0.075
2018-10-08,2884.429932,0.24
2018-10-05,2885.570068,-0.585
2018-10-04,2901.610107,-0.608
2018-10-03,2925.51001,-0.211
2018-10-02,2923.429932,-0.013
2018-10-01,2924.590088,-0.058
2018-09-28,2913.97998,0.136
2018-09-27,2914.0,0.081
2018-09-26,2905.969971,-0.377
2018-09-25,2915.560059,-0.212
2018-09-24,2919.370117,-0.084
2018-09-21,2929.669922,-0.241
2018-09-20,2930.75,0.377
2018-09-19,2907.949951,0.046
2018-09-18,2904.310059,0.469
2018-09-17,2888.800049,-0.518
2018-09-14,2904.97998,-0.048
2018-09-13,2904.179932,0.253
2018-09-12,2888.919922,0.022
2018-09-11,2887.889893,0.568
2018-09-10,2877.129883,-0.148
2018-09-07,2871.679932,0.119
2018-09-06,2878.050049,-0.367
2018-09-05,2888.600098,-0.103
2018-09-04,2896.719971,-0.008
2018-08-31,2901.52002,0.109
2018-08-30,2901.129883,-0.268
2018-08-29,2914.040039,0.463
2018-08-28,2897.52002,-0.135
2018-08-27,2896.73999,0.418
2018-08-24,2874.689941,0.431
2018-08-23,2856.97998,-0.116
2018-08-22,2861.820068,0.029
2018-08-21,2862.959961,0.051
2018-08-20,2857.050049,0.109
2018-08-17,2850.129883,0.416
2018-08-16,2840.689941,0.327
2018-08-15,2818.370117,-0.339
2018-08-14,2839.959961,0.427
2018-08-13,2821.929932,-0.477
2018-08-10,2833.280029,-0.198
2018-08-09,2853.580078,-0.126
2018-08-08,2857.699951,0.032
2018-08-07,2858.449951,0.089
2018-08-06,2850.399902,0.356
2018-08-03,2840.350098,0.379
2018-08-02,2827.219971,0.955
2018-08-01,2813.360107,-0.277
2018-07-31,2816.290039,0.233
2018-07-30,2802.600098,-0.582
2018-07-27,2818.820068,-0.828
2018-07-26,2837.439941,0.069
2018-07-25,2846.070068,1.006
2018-07-24,2820.399902,-0.01
2018-07-23,2806.97998,0.279
2018-07-20,2801.830078,-0.097
2018-07-19,2804.48999,-0.174
2018-07-18,2815.620117,0.152
2018-07-17,2809.550049,0.725
2018-07-16,2798.429932,0.038
2018-07-13,2801.310059,0.157
2018-07-12,2798.290039,0.544
2018-07-11,2774.02002,-0.209
2018-07-10,2793.840088,0.189
2018-07-09,2784.169922,0.308
2018-07-06,2759.820068,0.809
2018-07-05,2736.610107,0.456
2018-07-03,2713.219971,-0.734
2018-07-02,2726.709961,0.804
2018-06-29,2718.370117,-0.321
2018-06-28,2716.310059,0.653
2018-06-27,2699.629883,-1.056
2018-06-26,2723.060059,0.035
2018-06-25,2717.070068,-0.943
2018-06-22,2754.879883,-0.214
2018-06-21,2749.76001,-0.705
2018-06-20,2767.320068,-0.087
2018-06-19,2762.590088,0.384
2018-06-18,2773.75,0.288
2018-06-15,2779.659912,0.068
2018-06-14,2782.48999,-0.026
2018-06-13,2775.629883,-0.442
2018-06-12,2786.850098,0.045
2018-06-11,2782.0,0.065
2018-06-08,2779.030029,0.477
2018-06-07,2770.370117,-0.161
2018-06-06,2772.350098,0.694
2018-06-05,2748.800049,0.012
2018-06-04,2746.870117,0.19
2018-06-01,2734.620117,0.586
2018-05-31,2705.27002,-0.577
2018-05-30,2724.01001,0.799
2018-05-29,2689.860107,-0.564
2018-05-25,2721.330078,-0.083
2018-05-24,2727.76001,-0.116
2018-05-23,2733.290039,0.712
