date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2017-10-03,4317.47998,52.349602,0.203318,292.463013,0.001266,2534.580078,0.168,16.65,0.001564004,1274.6,-0.001723058
2017-10-02,4409.319824,53.375999,0.202676,297.475006,0.001317,2529.120117,0.314,16.654,0.00024024,1275.8,0.000941472
2017-09-29,4163.069824,52.623001,0.193606,291.46701,0.001397,2519.360107,0.375,16.676,0.001321004,1284.8,0.007054397
2017-09-28,4174.72998,54.085201,0.196131,299.154999,0.001429,2510.060059,0.266,16.847,0.010254258,1288.7,0.003035492
2017-09-27,4200.669922,56.2831,0.203299,306.46701,0.00145,2507.040039,0.149,16.827,-0.001187155,1287.8,-0.000698378
2017-09-26,3892.350098,51.546799,0.186119,287.437988,0.001293,2496.840088,-0.168,16.883,0.003327985,1301.7,0.010793601
2017-09-25,3926.070068,51.580101,0.181487,292.332001,0.001307,2496.659912,-0.109,17.147,0.015637031,1311.5,0.007528616
2017-09-22,3630.699951,48.090302,0.17351,264.309998,0.001139,2502.219971,0.199,16.984,-0.009506036,1297.5,-0.0106748
2017-09-21,3631.040039,46.605801,0.171754,258.579987,0.001136,2500.600098,-0.262,17.018,0.002001884,1294.8,-0.002080925
2017-09-20,3905.949951,51.733799,0.182078,283.742004,0.001272,2508.23999,0.056,17.334,0.018568574,1316.4,0.016682113
2017-09-19,3924.969971,52.8353,0.184041,282.803986,0.001324,2506.649902,0.014,17.279,-0.003172955,1310.6,-0.004405956
2017-09-18,4065.199951,55.525398,0.189768,293.497009,0.001426,2503.870117,0.054,17.156,-0.007118468,1310.8,0.000152602
2017-09-15,3637.52002,48.212601,0.181358,250.464005,0.001304,2500.22998,0.183,17.701,0.031767312,1325.2,0.010985658
2017-09-14,3154.949951,41.5849,0.164167,213.908005,0.001194,2495.620117,0.042,17.789,0.004971471,1329.3,0.003093873
2017-09-13,3882.590088,61.730099,0.200778,277.112,0.001544,2498.370117,0.18,17.867,0.004384732,1328,-0.000977958
2017-09-12,4130.810059,64.233704,0.209303,291.463989,0.001772,2496.47998,0.182,17.89,0.001287289,1332.7,0.003539157
2017-09-11,4161.27002,66.039902,0.214441,294.532013,0.001767,2488.110107,0.549,17.902,0.000670766,1335.7,0.002251069
2017-09-08,4228.75,67.7948,0.211518,296.497009,0.001708,2461.429932,-0.033,18.123,0.012344989,1351.2,0.011604402
2017-09-07,4599.879883,78.484299,0.22364,329.428009,0.001979,2465.100098,-0.12,18.116,-0.00038625,1350.3,-0.000666075
2017-09-06,4597.120117,80.114304,0.226186,334.338013,0.002028,2465.540039,0.069,17.91,-0.011371164,1339,-0.008368511
2017-09-05,4376.529785,71.2948,0.215189,312.988007,0.001947,2457.850098,-0.506,17.941,0.001730877,1344.5,0.004107543
2017-09-01,4892.009766,86.039703,0.248479,387.740997,0.002432,2476.550049,0.086,17.816,-0.006967282,1330.4,-0.01048717
2017-08-31,4703.390137,71.055099,0.25563,383.041992,0.002441,2471.649902,0.365,17.575,-0.013527167,1322.2,-0.00616356
2017-08-30,4565.299805,64.169296,0.228006,378.484985,0.002672,2457.590088,0.471,17.503,-0.004096728,1314.1,-0.006126153
2017-08-29,4579.02002,63.167,0.218564,370.666992,0.001892,2446.300049,0.59,17.516,0.00074273,1318.9,0.00365269
2017-08-28,4382.660156,62.355499,0.224508,347.747009,0.001702,2444.23999,-0.127,17.529,0.000742179,1315.3,-0.002729547
